id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
43878645,★ Very close to IST Airport & Kemer Golf Club ★,77232218,Cuneyt,,Eyup,41.18449,28.88662,Entire home/apt,350,2,14,2021-08-07,0.92,6,352,11,
43879251,"Flat with sea view, terrace and swimming pool.",190570065,Kerim,,Beylikduzu,41.00703,28.62428,Entire home/apt,750,30,4,2021-09-10,1.74,1,364,4,
43880842,1+1 MASLAK  *HYGIENE CERFİCATE*  LUXURY RESIDENCE,220972,Barış,,Sisli,41.11702,29.01387,Entire home/apt,1127,1,0,,,28,365,0,
43887066,Modern Residence with Hotel Comfort and Privilege,293047462,Nes,,Bahcelievler,41.00419,28.81103,Entire home/apt,667,1,8,2021-06-26,6.15,2,329,8,
43891398,Wake Up In The Downtown with Sounds of Birds,41858289,Sevgi,,Besiktas,41.04932,29.00322,Entire home/apt,400,4,0,,,1,177,0,
43902561,Trusted Roommate,347820700,Yaren,,Kagithane,41.08852,28.97062,Private room,133,1,1,2021-08-10,0.57,1,85,1,
43902730,Taksim & Şişli Bölgesinde 2+1 DAİRE,351454124,Ahmet,,Sisli,41.04678,28.98651,Entire home/apt,362,1,0,,,1,180,0,
43903810,"Deal, Full House At Moda Sea Side Center",5888280,Sinem,,Kadikoy,40.98175,29.02259,Entire home/apt,557,4,1,2020-09-26,0.08,3,334,0,
43904046,Designer Loft with Galata View,175710072,Ugur,,Beyoglu,41.02557,28.97159,Entire home/apt,1081,3,33,2021-06-30,3.57,1,363,28,
43904198,SWEET AND CLEAN APT WİTH GREAT VIEW,237616777,Umut Özgün,,Beyoglu,41.03504,28.98663,Entire home/apt,425,3,20,2021-08-22,1.48,29,361,16,
43905609,Stada yakın 1+0 stüdyo daire,351479693,Yeliz,,Kadikoy,40.98892,29.02828,Entire home/apt,198,1,51,2021-08-15,3.36,10,341,34,
43905788,A UNIQUE FLAT IN LUXURY RESIDENCE WITH FOREST VİEW,69089629,Metin,,Sisli,41.11782,29.00974,Entire home/apt,1341,1,6,2020-12-28,0.43,24,365,4,
43906658,A UNIQUE 1+1 FLAT IN RESIDENCE WITH FOREST VIEW,69089629,Metin,,Sisli,41.11989,29.00865,Entire home/apt,1650,1,1,2020-12-31,0.11,24,365,1,
43906693,"Amazing view, great location!",253789877,Seçil,,Besiktas,41.07133,29.021,Private room,1238,2,0,,,1,87,0,
43906896,A UNIQUE 2+1 FLAT IN RESIDENCE WITH FOREST VIEW,69089629,Metin,,Sisli,41.11788,29.01005,Entire home/apt,2063,1,0,,,24,365,0,
43907408,Comfortable Luxury Flat near Galata Tower,149915983,Mücahid,,Beyoglu,41.02652,28.97788,Entire home/apt,466,1,47,2020-12-20,3.07,13,358,34,
43910286,Apartment near Merter Textile Center,229452041,Onur,,Gungoren,41.01833,28.87596,Private room,150,2,0,,,2,365,0,
43911578,I am currently looking for a flatmate,143385188,Cumââ,,Sisli,41.0456,28.98328,Private room,145,3,0,,,2,328,0,
43912247,Private Cosy  Apartment in Galata,246770674,Ulvi,,Beyoglu,41.02722,28.97748,Entire home/apt,379,1,6,2020-07-11,0.43,11,194,4,
43914663,GAR Suit Esenyurt - No: 6,240829379,Gökhan,,Esenyurt,41.02032,28.68519,Entire home/apt,250,365,1,2020-08-21,0.07,26,365,0,
43919281,Boğaziçi Tarabya'da size özel bahçeli ev,345836996,Soner,,Sariyer,41.13364,29.04871,Entire home/apt,421,2,0,,,2,180,0,
43919624,World House Boutique Hotel-Galata Terrace Suite,351636720,World House Boutique,,Beyoglu,41.0289,28.97566,Private room,3621,1,2,2021-01-20,0.14,6,315,1,
43919875,Stay near the Historical Peninsula,351635165,Nihan,,Beyoglu,41.03384,28.9832,Entire home/apt,3244,3,0,,,1,180,0,
43920778,Heart of the İstanbul,6975974,Murat,,Beyoglu,41.03495,28.9805,Private room,259,1,1,2020-07-31,0.07,2,335,0,
43920931,Amazing view to the lake (long stay only).,351645570,Yahya,,Esenyurt,41.06834,28.6192,Entire home/apt,712,180,0,,,1,363,0,
43921332,Galata Studio Terrace,351647119,Ersin,,Beyoglu,41.02539,28.97665,Entire home/apt,155,2,17,2021-08-09,1.75,2,95,16,
43921367,Alibeyköy,186302162,Harun,,Eyup,41.0803,28.95396,Private room,113,1,0,,,1,362,0,
43924737,Devrim1,351679195,Devrim,,Maltepe,40.92923,29.12564,Private room,160,1,1,2020-07-19,0.07,1,180,0,
43927576,Cute 1 Room w/AC 300 meters to Istiklal Street,229986521,Vefa,,Beyoglu,41.03147,28.97932,Entire home/apt,310,4,14,2021-04-11,0.99,5,179,12,
43933619,Comfortable Luxurious Suite,341770297,Talal,,Bagcilar,41.05806,28.81283,Entire home/apt,407,4,15,2020-09-07,1.25,3,351,11,
43933747,NG(  1+1) Sweet home,315102142,Ahmed,,Bagcilar,41.04563,28.81091,Entire home/apt,578,10,0,,,11,365,0,
43934241,genclige uygun,341361867,Güvenç,,Maltepe,40.95316,29.11228,Private room,151,1,0,,,1,179,0,
43934294,Üsküdar: Room with a view,94097069,Anas,,Uskudar,41.02642,29.02092,Private room,90,1,0,,,3,334,0,
43934676,kadıköy'de Teraslı dublex 1+1,351783549,Burak,,Kadikoy,40.99371,29.04016,Entire home/apt,200,3,1,2021-09-06,1,1,53,1,
43934682,World House Boutique Hotel- Galata Standart Room,351636720,World House Boutique,,Beyoglu,41.02921,28.97352,Private room,1788,1,0,,,6,360,0,
43935467,Nupelda Bosphorus Hotel with Bosphorus view,351788411,Elif,,Sisli,41.04255,28.98663,Private room,879,1,0,,,1,365,0,
